session,averageAmplitude,zeroCrossing,Silence ratio
Ses01F_script02_2_F016,2801.8978509463727,"[[ 0.02539062  0.05566406  0.07421875  0.08740234  0.10058594  0.09277344
   0.09716797  0.08984375  0.08740234  0.08740234  0.11669922  0.14794922
   0.14306641  0.15771484  0.13037109  0.10253906  0.13476562  0.12939453
   0.14990234  0.17041016  0.16845703  0.18310547  0.17431641  0.15869141
   0.16210938  0.15673828  0.16650391  0.19726562  0.20263672  0.20068359
   0.19775391  0.18164062  0.17089844  0.16455078  0.15527344  0.15771484
   0.140625    0.1328125   0.12011719  0.09814453  0.08105469  0.07128906
   0.07275391  0.06152344  0.06201172  0.0859375   0.10888672  0.14160156
   0.18017578  0.16601562  0.14208984  0.12646484  0.10058594  0.10595703
   0.12646484  0.13671875  0.14013672  0.13916016  0.13330078  0.1328125
   0.14794922  0.16308594  0.17089844  0.18408203  0.17236328  0.19335938
   0.1953125   0.19189453  0.20605469  0.19775391  0.18847656  0.21923828
   0.27587891  0.35205078  0.44433594  0.50048828  0.54541016  0.54443359
   0.53662109  0.52392578  0.46875     0.42871094  0.37207031  0.29492188
   0.2578125   0.20556641  0.19238281  0.22753906  0.2421875   0.26855469
   0.25927734  0.22802734  0.21240234  0.18652344  0.19042969  0.18261719
   0.16894531  0.16796875  0.12158203  0.08007812]]",0.5792192429022083
Ses01F_script02_2_F017,248.04625041592098,"[[ 0.0234375   0.03369141  0.04833984  0.04833984  0.05029297  0.05126953
   0.04882812  0.046875    0.04931641  0.05419922  0.05615234  0.05664062
   0.05029297  0.04833984  0.04638672  0.05029297  0.05908203  0.05810547
   0.05957031  0.06103516  0.06152344  0.08691406  0.16699219  0.16601562
   0.16113281  0.12841797  0.04980469  0.05908203  0.06591797  0.07421875
   0.07080078  0.05810547  0.05175781  0.04980469  0.05419922  0.06054688
   0.07080078  0.078125    0.08154297  0.07861328  0.08300781  0.15234375
   0.24316406  0.31738281  0.31005859  0.23388672  0.13867188  0.0625
   0.05273438  0.0546875   0.05078125  0.0625      0.07373047  0.06933594
   0.07666016  0.05615234  0.04003906  0.03417969  0.02246094  0.02539062
   0.04589844  0.06640625  0.08349609  0.09619141  0.08544922  0.07128906
   0.05664062  0.04833984  0.05029297  0.06005859  0.06640625  0.06591797
   0.06396484  0.06347656  0.06347656  0.06201172  0.05908203  0.05957031
   0.05859375  0.05517578  0.05957031  0.04541016  0.04199219  0.04345703
   0.03955078  0.05371094  0.06152344  0.07128906  0.07373047  0.06542969
   0.06347656  0.05810547  0.04980469  0.05322266  0.04980469  0.05322266
   0.05761719  0.05761719  0.0546875   0.04931641  0.05126953  0.04589844
   0.04882812  0.04980469  0.04589844  0.046875    0.05175781  0.04882812
   0.05273438  0.05029297  0.05371094  0.06201172  0.06103516  0.06494141
   0.04736328  0.04003906  0.04638672  0.04638672  0.06152344  0.06591797
   0.06103516  0.05615234  0.04785156  0.046875    0.04101562  0.04882812
   0.04931641  0.05419922  0.06542969  0.06396484  0.07910156  0.11035156
   0.12402344  0.16455078  0.16845703  0.1328125   0.11474609  0.06982422
   0.05175781  0.06347656  0.09326172  0.10351562  0.10302734  0.08789062
   0.0546875   0.04833984  0.05712891  0.06591797  0.0703125   0.07421875
   0.10058594  0.09521484  0.10400391  0.09960938  0.06933594  0.08496094
   0.09130859  0.15039062  0.18408203  0.16699219  0.14599609  0.08349609
   0.04248047  0.04199219  0.04785156  0.05712891  0.06347656  0.06103516
   0.05322266  0.04589844  0.03857422  0.04101562  0.04296875  0.04052734
   0.03662109  0.03515625  0.03955078  0.04101562  0.04394531  0.05029297
   0.05615234  0.06298828  0.07080078  0.06982422  0.06103516  0.05957031
   0.06103516  0.05664062  0.0625      0.06054688  0.05517578  0.05078125
   0.04492188  0.04003906  0.04394531  0.06005859  0.06884766  0.07470703
   0.07275391  0.06298828  0.05273438  0.04541016  0.04980469  0.05273438
   0.05126953  0.05859375  0.05566406  0.05175781  0.06396484  0.05712891
   0.05224609  0.05078125  0.04589844  0.06054688  0.06835938  0.07421875
   0.06445312  0.04150391]]",0.7682083471973669
Ses01F_script02_2_F019,222.19767839377425,"[[ 0.04101562  0.06005859  0.07714844  0.078125    0.10595703  0.13525391
   0.15722656  0.16259766  0.15527344  0.1328125   0.12939453  0.16015625
   0.20410156  0.23339844  0.23681641  0.22949219  0.18994141  0.18457031
   0.18017578  0.16259766  0.15039062  0.11083984  0.08203125  0.0546875
   0.04785156  0.07226562  0.1015625   0.14160156  0.16455078  0.16992188
   0.15576172  0.14306641  0.12255859  0.11425781  0.12402344  0.11865234
   0.1328125   0.14111328  0.14208984  0.13378906  0.10791016  0.07568359
   0.04931641  0.03027344  0.0234375   0.02490234  0.02685547  0.03369141
   0.03759766  0.05615234  0.06005859  0.08154297  0.11767578  0.11523438
   0.13525391  0.11523438  0.08691406  0.08496094  0.06689453  0.06738281
   0.06103516  0.04833984  0.04980469  0.05029297  0.05517578  0.05957031
   0.05761719  0.05615234  0.05126953  0.04980469  0.04980469  0.05664062
   0.05664062  0.06591797  0.07666016  0.07861328  0.09082031  0.08789062
   0.08496094  0.07910156  0.07324219  0.06640625  0.06152344  0.05810547
   0.05371094  0.05566406  0.06201172  0.0859375   0.09716797  0.10839844
   0.14257812  0.15429688  0.14208984  0.12744141  0.08496094  0.05566406
   0.05810547  0.06835938  0.06933594  0.06689453  0.06933594  0.07714844
   0.10498047  0.13037109  0.14892578  0.17285156  0.15771484  0.12695312
   0.10009766  0.05908203  0.04394531  0.04345703  0.05029297  0.08642578
   0.12255859  0.17236328  0.21728516  0.203125    0.17578125  0.12304688
   0.06884766  0.04443359  0.07080078  0.06933594  0.06884766  0.06689453
   0.03613281  0.04394531  0.05175781  0.05517578  0.0546875   0.06054688
   0.0625      0.0625      0.05419922  0.04833984  0.06298828  0.06201172
   0.10888672  0.17773438  0.15625     0.15185547  0.10546875  0.04248047
   0.04296875  0.04638672  0.04394531  0.03515625  0.03955078  0.04541016
   0.04931641  0.05322266  0.05322266  0.05859375  0.07617188  0.08642578
   0.09814453  0.09667969  0.10058594  0.09814453  0.08935547  0.08447266
   0.06298828  0.06445312  0.0703125   0.07177734  0.07714844  0.07373047
   0.06689453  0.06005859  0.06103516  0.05224609  0.05029297  0.05664062
   0.05224609  0.05566406  0.06201172  0.05761719  0.06445312  0.07617188
   0.07421875  0.07958984  0.06982422  0.05810547  0.04931641  0.04199219
   0.09667969  0.15722656  0.17578125  0.18652344  0.13378906  0.07519531
   0.06542969  0.0703125   0.07128906  0.06152344  0.05371094  0.04101562
   0.03710938  0.04101562  0.03710938  0.04248047  0.04052734  0.04296875
   0.05078125  0.04882812  0.05371094  0.04980469  0.04638672  0.04101562
   0.03271484  0.03857422  0.03613281  0.0390625   0.05322266  0.04931641
   0.05126953  0.05078125  0.04296875  0.05224609  0.05322266  0.05322266
   0.05371094  0.04541016  0.04882812  0.05078125  0.04736328  0.05175781
   0.05615234  0.05566406  0.06738281  0.06396484  0.06054688  0.05712891
   0.05078125  0.05029297  0.05566406  0.05957031  0.06640625  0.06689453
   0.06152344  0.06933594  0.07763672  0.11035156  0.11816406  0.10839844
   0.09619141  0.06396484  0.05322266  0.06103516  0.05712891  0.0546875
   0.06201172  0.05322266  0.06835938  0.08496094  0.09814453  0.09667969
   0.08056641  0.06396484  0.04541016  0.04736328  0.04394531  0.05322266
   0.05566406  0.05224609  0.05126953  0.04003906  0.03271484  0.04199219
   0.07373047  0.08544922  0.08300781  0.07958984  0.05566406  0.04589844
   0.06640625  0.16308594  0.1796875   0.18603516  0.19824219  0.15576172
   0.18945312  0.22753906  0.22314453  0.17138672  0.11962891  0.07861328
   0.05712891  0.05371094  0.04736328  0.04833984  0.05078125  0.05029297
   0.05224609  0.04589844  0.03857422  0.0390625   0.04199219  0.04199219
   0.05273438  0.06542969  0.078125    0.08398438  0.08007812  0.06494141
   0.05712891  0.05273438  0.04638672  0.04052734  0.03320312  0.03369141
   0.03515625  0.04443359  0.04296875  0.04199219  0.04150391  0.03662109
   0.03857422  0.0390625   0.03710938  0.03955078  0.04199219  0.04248047
   0.04003906  0.03125     0.03027344  0.04492188  0.07666016  0.125
   0.16162109  0.16357422  0.15087891  0.11328125  0.08007812  0.06787109
   0.05712891  0.05322266  0.05175781  0.06542969  0.10546875  0.11865234
   0.12060547  0.10400391  0.06884766  0.07617188  0.08642578  0.0859375
   0.08056641  0.07177734  0.06494141  0.07080078  0.07519531  0.06982422
   0.07226562  0.07373047  0.07568359  0.07470703  0.08789062  0.16699219
   0.2265625   0.23486328  0.23535156  0.17089844  0.13525391  0.15136719
   0.16699219  0.16894531  0.16796875  0.15771484  0.13476562  0.13378906
   0.11474609  0.12695312  0.14404297  0.13916016  0.14355469  0.12646484
   0.09960938  0.08837891  0.08154297  0.07080078  0.06152344  0.05078125
   0.04052734  0.03271484  0.03759766  0.04785156  0.04492188  0.05322266
   0.08349609  0.09033203  0.09716797  0.09130859  0.06201172  0.046875
   0.04589844  0.046875    0.04003906  0.03564453  0.02978516  0.02587891
   0.02832031  0.03076172  0.03613281  0.04443359  0.04882812  0.05859375
   0.06103516  0.05371094  0.06152344  0.06396484  0.06787109  0.06591797
   0.05029297  0.03564453  0.02050781  0.02441406  0.02832031  0.03369141
   0.078125    0.13378906  0.16503906  0.17285156  0.14111328  0.08154297
   0.04882812  0.03857422  0.03271484  0.03759766  0.04150391  0.04736328
   0.05322266  0.05761719  0.05957031  0.05664062  0.04736328  0.04394531
   0.03808594  0.03955078  0.06054688  0.06982422  0.07324219  0.06787109
   0.04833984  0.03320312  0.02685547  0.04248047  0.0546875   0.08740234
   0.11425781  0.10205078  0.08886719  0.06005859  0.0390625   0.05126953
   0.07763672  0.08398438  0.08691406  0.07373047  0.05126953  0.05712891
   0.06445312  0.08154297  0.09033203  0.13867188  0.15429688  0.13574219
   0.12597656  0.06884766  0.04785156  0.04931641  0.04785156  0.04736328
   0.04541016  0.04296875  0.04638672  0.04003906  0.04589844  0.04931641
   0.05566406  0.05712891  0.06201172  0.06347656  0.06396484  0.06884766
   0.05615234  0.05761719  0.0546875   0.05029297  0.05957031  0.06298828
   0.06054688  0.06689453  0.05859375  0.05615234  0.05517578  0.05273438
   0.05126953  0.05615234  0.05712891  0.05810547  0.0625      0.05859375
   0.06396484  0.06835938  0.07617188  0.06884766  0.04980469]]",0.4358312494958457
Ses01F_script02_2_F022,215.0167844782792,"[[ 0.03564453  0.05371094  0.06835938  0.06494141  0.05517578  0.05126953
   0.05175781  0.06494141  0.07324219  0.07666016  0.08154297  0.06542969
   0.06494141  0.06787109  0.06933594  0.07666016  0.06933594  0.06054688
   0.08203125  0.12109375  0.12548828  0.14355469  0.11376953  0.06982422
   0.05908203  0.03759766  0.03662109  0.04003906  0.04541016  0.05175781
   0.05322266  0.04882812  0.04150391  0.03320312  0.04638672  0.06298828
   0.07910156  0.08935547  0.07275391  0.05322266  0.04541016  0.04833984
   0.04443359  0.04345703  0.03564453  0.02929688  0.0390625   0.07861328
   0.14599609  0.15234375  0.14892578  0.11523438  0.046875    0.03710938
   0.03662109  0.03613281  0.04492188  0.05224609  0.05224609  0.04833984
   0.04101562  0.04003906  0.05175781  0.07421875  0.08007812  0.08203125
   0.078125    0.06884766  0.07519531  0.08105469  0.08056641  0.078125
   0.08007812  0.06494141  0.06738281  0.06201172  0.05664062  0.06396484
   0.06103516  0.08300781  0.0859375   0.09033203  0.08642578  0.07324219
   0.07861328  0.07421875  0.07421875  0.06152344  0.05078125  0.04541016
   0.05126953  0.05664062  0.06738281  0.08837891  0.08691406  0.08984375
   0.08154297  0.06787109  0.06787109  0.07177734  0.07226562  0.07568359
   0.08691406  0.10009766  0.11132812  0.11425781  0.10839844  0.08935547
   0.07861328  0.07763672  0.06933594  0.07666016  0.08447266  0.09375
   0.09619141  0.09814453  0.08544922  0.06005859  0.05078125  0.04296875
   0.04785156  0.05273438  0.05712891  0.06005859  0.05419922  0.05224609
   0.06152344  0.06298828  0.08349609  0.10400391  0.10253906  0.10351562
   0.10595703  0.09570312  0.08251953  0.07617188  0.05615234  0.04589844
   0.05517578  0.06542969  0.06640625  0.07763672  0.07080078  0.05761719
   0.05712891  0.08691406  0.13623047  0.15380859  0.15429688  0.11425781
   0.06396484  0.04443359  0.03515625  0.03027344  0.03515625  0.046875
   0.0546875   0.06054688  0.05224609  0.03662109  0.02880859  0.02246094
   0.03076172  0.03320312  0.04003906  0.04882812  0.05273438  0.05371094
   0.05078125  0.05029297  0.04882812  0.05859375  0.06201172  0.06445312
   0.05810547  0.05273438  0.05615234  0.04980469  0.05078125  0.04833984
   0.04980469  0.0625      0.07568359  0.08398438  0.08203125  0.07373047
   0.0625      0.06005859  0.05517578  0.04931641  0.05322266  0.04980469
   0.0546875   0.0546875   0.05371094  0.05908203  0.05126953  0.06005859
   0.04443359  0.02587891]]",0.6776929185580252
Ses01F_script02_2_F023,80.42131160764701,"[[ 0.02294922  0.04150391  0.05908203  0.05566406  0.06005859  0.06347656
   0.05957031  0.06689453  0.06787109  0.06201172  0.06298828  0.06005859
   0.05664062  0.05615234  0.06103516  0.06005859  0.06982422  0.078125
   0.07275391  0.07714844  0.07080078  0.05957031  0.05615234  0.04638672
   0.04150391  0.03564453  0.04052734  0.046875    0.04980469  0.05517578
   0.0546875   0.04931641  0.04833984  0.04199219  0.03759766  0.03955078
   0.03857422  0.05273438  0.05761719  0.06494141  0.07470703  0.07958984
   0.08154297  0.07324219  0.06201172  0.05126953  0.05371094  0.05615234
   0.0625      0.06396484  0.05712891  0.05761719  0.05908203  0.06201172
   0.06152344  0.07128906  0.07128906  0.06884766  0.07519531  0.06054688
   0.05957031  0.0625      0.06005859  0.06689453  0.06738281  0.06103516
   0.05810547  0.05712891  0.06152344  0.06103516  0.05566406  0.05029297
   0.02880859]]",0.19735957624156386
Ses01F_script02_2_F026,117.73863173612055,"[[ 0.14550781  0.19677734  0.22998047  0.17919922  0.13964844  0.10644531
   0.09179688  0.09228516  0.10595703  0.12304688  0.13037109  0.10888672
   0.08984375  0.07128906  0.05517578  0.05957031  0.05224609  0.04589844
   0.04833984  0.05273438  0.04736328  0.04882812  0.04980469  0.04785156
   0.06298828  0.07666016  0.09765625  0.10742188  0.10986328  0.10839844
   0.09228516  0.08886719  0.08691406  0.08642578  0.0859375   0.09228516
   0.08251953  0.08007812  0.07568359  0.08056641  0.11865234  0.15087891
   0.17236328  0.17919922  0.14990234  0.10839844  0.08935547  0.13427734
   0.16503906  0.17675781  0.18603516  0.11425781  0.07861328  0.07666016
   0.06933594  0.07470703  0.06591797  0.04394531]]",0.4282611646531831
Ses01F_script02_2_F034,258.6899005858583,"[[ 0.07324219  0.10595703  0.125       0.12402344  0.09130859  0.07373047
   0.07373047  0.0625      0.06542969  0.06591797  0.06738281  0.07373047
   0.07714844  0.07275391  0.06347656  0.05322266  0.04003906  0.03613281
   0.03076172  0.02832031  0.02685547  0.02587891  0.02587891  0.02587891
   0.02832031  0.02832031  0.02734375  0.02636719  0.02392578  0.02294922
   0.02294922  0.02539062  0.02539062  0.02539062  0.03125     0.03027344
   0.03271484  0.04345703  0.05810547  0.07128906  0.07128906  0.06103516
   0.04589844  0.04248047  0.046875    0.06152344  0.07275391  0.07666016
   0.0859375   0.07910156  0.07177734  0.06298828  0.05615234  0.05615234
   0.0546875   0.05322266  0.04833984  0.05810547  0.0625      0.06005859
   0.05664062  0.03955078  0.02880859  0.02734375  0.02685547  0.03125
   0.03662109  0.03857422  0.05224609  0.05029297  0.05615234  0.06347656
   0.0546875   0.05761719  0.04833984  0.03857422  0.03662109  0.04443359
   0.05224609  0.05517578  0.06005859  0.06103516  0.05957031  0.07275391
   0.07373047  0.07568359  0.08105469  0.07080078  0.06787109  0.06689453
   0.06591797  0.07080078  0.06933594  0.06396484  0.06201172  0.05908203
   0.06787109  0.06591797  0.06542969  0.06494141  0.06201172  0.06542969
   0.05664062  0.046875    0.04052734  0.04199219  0.05957031  0.07617188
   0.08349609  0.08203125  0.06640625  0.06005859  0.05859375  0.05175781
   0.05419922  0.05908203  0.07128906  0.07568359  0.07470703  0.07128906
   0.05566406  0.05224609  0.05517578  0.05566406  0.0625      0.06982422
   0.06640625  0.06738281  0.07519531  0.09619141  0.11083984  0.12011719
   0.12353516  0.13037109  0.15136719  0.15722656  0.15234375  0.14013672
   0.11914062  0.08642578]]",0.426166473244872
Ses01F_script02_2_F035,499.4227531590072,"[[ 0.04150391  0.05859375  0.07714844  0.05761719  0.07666016  0.078125
   0.078125    0.07714844  0.07373047  0.0703125   0.06494141  0.07128906
   0.0625      0.06201172  0.06445312  0.06103516  0.06835938  0.07080078
   0.08251953  0.08105469  0.07714844  0.08544922  0.07373047  0.07226562
   0.06201172  0.04394531  0.04003906  0.03955078  0.04589844  0.05322266
   0.05126953  0.04541016  0.04394531  0.04345703  0.04150391  0.04052734
   0.03466797  0.03417969  0.04882812  0.05859375  0.06396484  0.07666016
   0.16064453  0.15966797  0.15429688  0.13574219  0.04150391  0.03759766
   0.04003906  0.04980469  0.0859375   0.10498047  0.11523438  0.12841797
   0.09667969  0.08105469  0.078125    0.06591797  0.13769531  0.22021484
   0.29150391  0.30615234  0.25097656  0.16992188  0.10302734  0.08935547
   0.06835938  0.05810547  0.04296875  0.03515625  0.03759766  0.05224609
   0.06982422  0.06982422  0.06152344  0.04736328  0.03125     0.03222656
   0.04003906  0.04589844  0.04541016  0.04003906  0.03759766  0.03271484
   0.03173828  0.03466797  0.0390625   0.04296875  0.04296875  0.03808594
   0.03369141  0.03271484  0.0390625   0.05761719  0.08837891  0.09570312
   0.11523438  0.20166016  0.18603516  0.17578125  0.14990234  0.04589844
   0.02636719  0.05126953  0.07226562  0.12695312  0.19628906  0.18261719
   0.17578125  0.13427734  0.07861328  0.10009766  0.16357422  0.24316406
   0.26757812  0.24511719  0.18408203  0.10400391  0.08056641  0.08349609
   0.08496094  0.09033203  0.0859375   0.07177734  0.05371094  0.03613281
   0.03662109  0.04101562  0.04785156  0.05810547  0.05615234  0.05859375
   0.05908203  0.05126953  0.05126953  0.0546875   0.0625      0.07958984
   0.09228516  0.11279297  0.13671875  0.16259766  0.1875      0.20166016
   0.19775391  0.1875      0.17431641  0.18164062  0.18212891  0.17822266
   0.17382812  0.15527344  0.13476562  0.11669922  0.09130859  0.06640625
   0.06835938  0.05957031  0.06396484  0.06054688  0.05273438  0.05029297
   0.05078125  0.04736328  0.03955078  0.04150391  0.04199219  0.04736328
   0.05322266  0.05566406  0.05273438  0.04882812  0.04833984  0.04638672
   0.04931641  0.05322266  0.06103516  0.06884766  0.07519531  0.07763672
   0.06933594  0.06152344  0.05419922  0.05029297  0.05810547  0.05615234
   0.07519531  0.19140625  0.20996094  0.2109375   0.18994141  0.07128906
   0.04492188  0.04394531  0.04589844  0.05371094  0.05419922  0.05664062
   0.05810547  0.04980469  0.05615234  0.05517578  0.05126953  0.05224609
   0.04736328  0.04638672  0.05712891  0.06542969  0.06738281  0.07226562
   0.06884766  0.06542969  0.06445312  0.0625      0.06591797  0.06640625
   0.06591797  0.05761719  0.04345703  0.03613281  0.03808594  0.04833984
   0.07128906  0.09326172  0.09472656  0.09863281  0.09228516  0.07763672
   0.08105469  0.07666016  0.07080078  0.06689453  0.06201172  0.05908203
   0.05810547  0.06591797  0.07617188  0.0859375   0.09033203  0.08300781
   0.06835938  0.06201172  0.12890625  0.13574219  0.14794922  0.21972656
   0.16943359  0.23535156  0.28173828  0.21044922  0.20019531  0.13818359
   0.08154297  0.08251953  0.07128906  0.06054688  0.06494141  0.05859375
   0.11621094  0.20263672  0.22265625  0.22021484  0.16064453  0.07958984
   0.06542969  0.07177734  0.08007812  0.06738281  0.05859375  0.05664062
   0.0546875   0.06884766  0.07275391  0.07861328  0.07324219  0.08251953
   0.11621094  0.10205078  0.09912109  0.07470703  0.03125     0.07080078
   0.07128906  0.07714844  0.078125    0.03710938  0.03173828  0.02490234
   0.02685547  0.03613281  0.046875    0.05371094  0.05419922  0.04833984
   0.04248047  0.04833984  0.05517578  0.06494141  0.07080078  0.06298828
   0.0625      0.05273438  0.05126953  0.05859375  0.04785156  0.04931641
   0.05664062  0.05664062  0.05908203  0.06591797  0.0625      0.05908203
   0.07080078  0.06787109  0.06347656  0.06933594  0.06591797  0.07714844
   0.08447266  0.07910156  0.08398438  0.07763672  0.08203125  0.09423828
   0.14013672  0.18798828  0.17236328  0.15332031  0.09765625  0.04052734
   0.03759766  0.03759766  0.03515625  0.03613281  0.04052734  0.04199219
   0.04541016  0.04589844  0.04541016  0.07666016  0.11572266  0.20898438
   0.25830078  0.22851562  0.18603516  0.08789062  0.03271484  0.02978516
   0.03417969  0.04052734  0.05371094  0.06640625  0.07128906  0.07324219
   0.06640625  0.06152344  0.07128906  0.07763672  0.12011719  0.13623047
   0.11572266  0.09960938  0.05126953  0.02636719  0.03466797  0.05273438
   0.07421875  0.09423828  0.10400391  0.10986328  0.10644531  0.10400391
   0.09570312  0.08251953  0.07568359  0.07910156  0.11914062  0.19140625
   0.23046875  0.27294922  0.26171875  0.20849609  0.19189453  0.14794922
   0.11962891  0.10107422  0.07421875  0.06005859  0.05371094  0.05322266
   0.05273438  0.05859375  0.05810547  0.0546875   0.05810547  0.05957031
   0.06542969  0.06640625  0.06445312  0.0625      0.06201172  0.06005859
   0.06298828  0.05810547  0.06396484  0.06201172  0.06640625  0.06591797
   0.05712891  0.06103516  0.05566406  0.05615234  0.05810547  0.06103516
   0.05664062  0.06445312  0.06298828  0.06542969  0.06884766  0.06787109
   0.06982422  0.06542969  0.05371094  0.03417969]]",0.6457758374022762
Ses01F_script02_2_F036,136.25578917050692,"[[ 0.01904297  0.03027344  0.04882812  0.05029297  0.0546875   0.05175781
   0.04638672  0.05273438  0.06298828  0.07128906  0.0703125   0.06738281
   0.05957031  0.05615234  0.05273438  0.04443359  0.03515625  0.02832031
   0.02539062  0.02539062  0.0234375   0.02978516  0.06640625  0.07617188
   0.08349609  0.0859375   0.05810547  0.04882812  0.04052734  0.03564453
   0.03466797  0.046875    0.05566406  0.05664062  0.05908203  0.05126953
   0.04882812  0.05029297  0.04980469  0.05566406  0.05712891  0.05761719
   0.05273438  0.05126953  0.04882812  0.05029297  0.05175781  0.05371094
   0.06103516  0.06494141  0.07080078  0.06054688  0.06347656  0.05322266
   0.04833984  0.05566406  0.05712891  0.06347656  0.06591797  0.06640625
   0.05957031  0.06640625  0.0625      0.06933594  0.06640625  0.05810547
   0.06835938  0.04785156]]",0.281192396313364
Ses01F_script02_2_F040,211.639734220932,"[[ 0.03466797  0.05322266  0.0703125   0.06494141  0.0703125   0.06542969
   0.06738281  0.06835938  0.06054688  0.06396484  0.05712891  0.06542969
   0.07226562  0.07324219  0.08105469  0.07568359  0.07177734  0.07177734
   0.06884766  0.07128906  0.07177734  0.07128906  0.07080078  0.06347656
   0.06347656  0.06054688  0.06201172  0.0625      0.07958984  0.08984375
   0.1015625   0.11035156  0.09570312  0.08544922  0.07324219  0.06591797
   0.07519531  0.07373047  0.07177734  0.07470703  0.06347656  0.06542969
   0.06347656  0.05664062  0.05029297  0.05273438  0.05175781  0.04833984
   0.04541016  0.03759766  0.03271484  0.03515625  0.04345703  0.04980469
   0.05273438  0.05371094  0.05371094  0.05175781  0.05078125  0.04980469
   0.046875    0.04052734  0.04101562  0.06640625  0.06933594  0.07421875
   0.08642578  0.08398438  0.08544922  0.08349609  0.07128906  0.05078125
   0.04541016  0.04589844  0.04296875  0.0390625   0.03857422  0.05273438
   0.11425781  0.15087891  0.20117188  0.20263672  0.14697266  0.11035156
   0.05908203  0.04980469  0.04638672  0.04980469  0.05273438  0.04638672
   0.05175781  0.05761719  0.0625      0.06835938  0.06884766  0.06542969
   0.05664062  0.0546875   0.07763672  0.10009766  0.15380859  0.19433594
   0.21386719  0.25048828  0.24511719  0.22802734  0.19335938  0.14208984
   0.11474609  0.09814453  0.08837891  0.07470703  0.05615234  0.046875
   0.04443359  0.05029297  0.05761719  0.05810547  0.06396484  0.05761719
   0.05566406  0.05078125  0.04589844  0.05322266  0.046875    0.05371094
   0.0625      0.06396484  0.08447266  0.09277344  0.08642578  0.0859375
   0.06689453  0.05664062  0.05810547  0.05957031  0.06542969  0.06787109
   0.05908203  0.05810547  0.05810547  0.05810547  0.06054688  0.06396484
   0.06396484  0.06835938  0.07324219  0.07275391  0.07714844  0.078125
   0.07373047  0.06689453  0.06787109  0.06396484  0.10693359  0.13525391
   0.12597656  0.11962891  0.07470703  0.04248047  0.03515625  0.03564453
   0.03857422  0.04052734  0.04492188  0.04052734  0.03417969  0.03027344
   0.02685547  0.06640625  0.08300781  0.08789062  0.09570312  0.06005859
   0.04736328  0.04345703  0.03955078  0.04248047  0.03710938  0.03466797
   0.04492188  0.0703125   0.11962891  0.13378906  0.12695312  0.09570312
   0.07568359  0.10791016  0.15087891  0.19775391  0.17578125  0.13818359
   0.09619141  0.05517578  0.06054688  0.05859375  0.07080078  0.14453125
   0.25097656  0.33496094  0.32958984  0.25585938  0.14501953  0.0625
   0.04882812  0.04345703  0.04345703  0.04199219  0.046875    0.04785156
   0.04296875  0.04345703  0.04443359  0.05615234  0.06396484  0.07080078
   0.06835938  0.06152344  0.06445312  0.05908203  0.06494141  0.07177734
   0.06542969  0.06347656  0.06152344  0.06201172  0.05957031  0.05810547
   0.05957031  0.05175781  0.04931641  0.04882812  0.04296875  0.03808594
   0.03564453  0.03613281  0.03710938  0.04296875  0.05273438  0.0703125
   0.08447266  0.0859375   0.09082031  0.08105469  0.07324219  0.07177734
   0.06738281  0.08154297  0.08935547  0.0859375   0.08251953  0.06005859
   0.04882812  0.04394531  0.03955078  0.03417969  0.02539062  0.02880859
   0.03125     0.04150391  0.05029297  0.05175781  0.05517578  0.0546875
   0.05419922  0.05615234  0.05761719  0.05810547  0.09912109  0.20605469
   0.29052734  0.3046875   0.27099609  0.16845703  0.08789062  0.07568359
   0.06494141  0.06396484  0.05908203  0.05810547  0.06640625  0.06640625
   0.0625      0.05859375  0.05761719  0.06103516  0.06591797  0.06201172
   0.06005859  0.05029297  0.046875    0.046875    0.05126953  0.05126953
   0.05664062  0.05957031  0.05078125  0.05419922  0.05419922  0.05810547
   0.05273438  0.05371094  0.05224609  0.05322266  0.06591797  0.06542969
   0.06445312  0.05859375  0.05078125  0.05126953  0.04638672  0.03955078
   0.02783203]]",0.5382589218679614
